"county","year","acres_burned","n_fires"
"Sierra",2014,84.3665,2
"Sacramento",2014,0,0
"Santa Barbara",2014,631.814,1
"Calaveras",2014,0,0
"Ventura",2014,49.115354,7
"Los Angeles",2014,2537.2098462,20
"Sonoma",2014,0,0
"Kings",2014,0,0
"San Diego",2014,26849.4725,14
"Placer",2014,98285.31166,6
"San Francisco",2014,0,0
"Marin",2014,0,0
"Mariposa",2014,12188.787188,31
"Lassen",2014,39752.2,1
"Napa",2014,4297.35,1
"Shasta",2014,85852.102,6
"Monterey",2014,245.7373,2
"Trinity",2014,19424.1406,6
"Mendocino",2014,13089.3797,7
"Inyo",2014,131.5795,2
"Mono",2014,184.5572,3
"Tuolumne",2014,39.996069,25
"Solano",2014,100.8582,3
"San Bernardino",2014,2186.5298,3
"Contra Costa",2014,0,0
"Alpine",2014,94.2166,1
"El Dorado",2014,101945.4749,3
"Yolo",2014,7007.0427,4
"Yuba",2014,33.16083,3
"San Benito",2014,0,0
"Humboldt",2014,615.797,6
"Riverside",2014,1150.82916,9
"Kern",2014,8529.9763,7
"Colusa",2014,24.1365,1
"Del Norte",2014,0.498637,1
"Modoc",2014,16054.3589,11
"Fresno",2014,14026.948143,7
"Madera",2014,14735.503554,11
"Santa Clara",2014,0,0
"Tehama",2014,864.947,1
"San Joaquin",2014,0,0
"Alameda",2014,0,0
"Nevada",2014,388.25509,4
"Butte",2014,713.932,2
"Merced",2014,0,0
"Tulare",2014,1467.88842,5
"Stanislaus",2014,0,0
"Orange",2014,959.013,1
"Imperial",2014,0,0
"Sutter",2014,0,0
"Amador",2014,4239.27,1
"Lake",2014,4405.688,3
"Plumas",2014,28.6142,1
"San Mateo",2014,0,0
"Siskiyou",2014,244572.423,18
"Santa Cruz",2014,0,0
"Glenn",2014,268.6305,2
"San Luis Obispo",2014,32.1712,2
"Sierra",2015,0,0
"Sacramento",2015,1001.758,2
"Santa Barbara",2015,323.26144,6
"Calaveras",2015,70846.5,1
"Ventura",2015,2146.74713136,36
"Los Angeles",2015,3260.18281498,42
"Sonoma",2015,76084.8,1
"Kings",2015,0,0
"San Diego",2015,431.28408,6
"Placer",2015,904.44056,9
"San Francisco",2015,0,0
"Marin",2015,3.55478,1
"Mariposa",2015,588.516352,9
"Lassen",2015,10702.6551,5
"Napa",2015,109280.2487,4
"Shasta",2015,357.4223,5
"Monterey",2015,1231.9559,3
"Trinity",2015,220193.7100813,43
"Mendocino",2015,209.993,5
"Inyo",2015,6537.52,1
"Mono",2015,10892.7388,4
"Tuolumne",2015,767.0886,8
"Solano",2015,8049.33,1
"San Bernardino",2015,35831.29133,9
"Contra Costa",2015,0,0
"Alpine",2015,17779.5,1
"El Dorado",2015,106.0815,2
"Yolo",2015,102605.93,3
"Yuba",2015,261.133,5
"San Benito",2015,743.0903,2
"Humboldt",2015,139941.6339,22
"Riverside",2015,1945.20752,10
"Kern",2015,139.7443,6
"Colusa",2015,69438.2,1
"Del Norte",2015,37968.3585,8
"Modoc",2015,5010.44364,6
"Fresno",2015,151907.1135,5
"Madera",2015,7255.935,4
"Santa Clara",2015,217.727,1
"Tehama",2015,359.703098,11
"San Joaquin",2015,2989.93,1
"Alameda",2015,2989.93,1
"Nevada",2015,2363.9418,3
"Butte",2015,2488.7977,7
"Merced",2015,1728.97,1
"Tulare",2015,159276.0348,6
"Stanislaus",2015,0,0
"Orange",2015,243.2833,3
"Imperial",2015,2.15425,1
"Sutter",2015,644.168,1
"Amador",2015,70846.5,1
"Lake",2015,171779.1897,9
"Plumas",2015,159.4365,3
"San Mateo",2015,0,0
"Siskiyou",2015,24097.0222,14
"Santa Cruz",2015,0,0
"Glenn",2015,0,0
"San Luis Obispo",2015,4385.5806,5
"Sierra",2016,23.2622,1
"Sacramento",2016,536.33137,5
"Santa Barbara",2016,53022.8604,6
"Calaveras",2016,1343.9122,11
"Ventura",2016,2511.425887,15
"Los Angeles",2016,48786.2060306,34
"Sonoma",2016,1561.2415,2
"Kings",2016,0,0
"San Diego",2016,9166.03924,11
"Placer",2016,5967.16203,9
"San Francisco",2016,0,0
"Marin",2016,1.194435,2
"Mariposa",2016,1154.1480786,27
"Lassen",2016,2601.9232,2
"Napa",2016,5788.2198,3
"Shasta",2016,458.0529,4
"Monterey",2016,185334.6029,12
"Trinity",2016,29.64268,2
"Mendocino",2016,100.1054,3
"Inyo",2016,1920.9772,5
"Mono",2016,9054.8419,5
"Tuolumne",2016,1228.2553688,10
"Solano",2016,58.7602,1
"San Bernardino",2016,45387.2187,8
"Contra Costa",2016,0,0
"Alpine",2016,649.876,1
"El Dorado",2016,5894.2386,4
"Yolo",2016,5978.9709,3
"Yuba",2016,568.3003,8
"San Benito",2016,446.5764,5
"Humboldt",2016,682.68107,5
"Riverside",2016,1776.75989,7
"Kern",2016,80102.464338,32
"Colusa",2016,0,0
"Del Norte",2016,0,0
"Modoc",2016,3025.311,3
"Fresno",2016,16393.7653,18
"Madera",2016,1289.8673,5
"Santa Clara",2016,4682.83,3
"Tehama",2016,1115.14546,14
"San Joaquin",2016,0,0
"Alameda",2016,0,0
"Nevada",2016,72.4144,3
"Butte",2016,1640.2215,6
"Merced",2016,1386.7921,3
"Tulare",2016,42330.78396,10
"Stanislaus",2016,241.6535,4
"Orange",2016,478.4658,9
"Imperial",2016,0,0
"Sutter",2016,315.76,1
"Amador",2016,773.1811,8
"Lake",2016,4280.1705,9
"Plumas",2016,260.5727,2
"San Mateo",2016,0,0
"Siskiyou",2016,36781.4481339,15
"Santa Cruz",2016,4474.12,1
"Glenn",2016,1.59758,1
"San Luis Obispo",2016,48684.4641,13
"Sierra",2017,139.467,1
"Sacramento",2017,1506.027,2
"Santa Barbara",2017,330097.6588,16
"Calaveras",2017,368.6874,6
"Ventura",2017,288068.14845,19
"Los Angeles",2017,31294.6383648,47
"Sonoma",2017,112485.55162,13
"Kings",2017,48929.5677,3
"San Diego",2017,7832.3827,18
"Placer",2017,73.404369,7
"San Francisco",2017,0,0
"Marin",2017,69.39009865,6
"Mariposa",2017,112043.8899042,34
"Lassen",2017,110530.1974,20
"Napa",2017,144320.1831,8
"Shasta",2017,1267.585,6
"Monterey",2017,52602.58482,12
"Trinity",2017,40227.0603,10
"Mendocino",2017,37413.415,2
"Inyo",2017,102.35306,3
"Mono",2017,9333.8717,3
"Tuolumne",2017,8106.2557229,22
"Solano",2017,51870.1053,6
"San Bernardino",2017,7727.41163,23
"Contra Costa",2017,0,0
"Alpine",2017,13413.3231,3
"El Dorado",2017,2078.2193857,10
"Yolo",2017,2366.23,1
"Yuba",2017,17145.9357,8
"San Benito",2017,136.2952,4
"Humboldt",2017,160.437,6
"Riverside",2017,16466.6297,20
"Kern",2017,9427.6718168,42
"Colusa",2017,80.7558,3
"Del Norte",2017,91379.0897,3
"Modoc",2017,93330.1039,31
"Fresno",2017,69448.60918,24
"Madera",2017,23531.9729,8
"Santa Clara",2017,313.914,3
"Tehama",2017,13758.6377,4
"San Joaquin",2017,194.6624,2
"Alameda",2017,0,0
"Nevada",2017,1416.8905,10
"Butte",2017,34956.02807,9
"Merced",2017,1730.47,1
"Tulare",2017,80156.6977,16
"Stanislaus",2017,159.7706,4
"Orange",2017,12624.76099228,29
"Imperial",2017,66.9986,1
"Sutter",2017,0,0
"Amador",2017,33.476271,3
"Lake",2017,2545.68818,9
"Plumas",2017,6355.83204,11
"San Mateo",2017,36.3377,1
"Siskiyou",2017,228416.8425425,57
"Santa Cruz",2017,319.76961,2
"Glenn",2017,0,0
"San Luis Obispo",2017,36029.9214,30
"Sierra",2018,0,0
"Sacramento",2018,399.6909,4
"Santa Barbara",2018,1990.992,9
"Calaveras",2018,12295.98925,7
"Ventura",2018,94449.72630526,62
"Los Angeles",2018,95053.0419718,27
"Sonoma",2018,13.895903,2
"Kings",2018,73.3264,2
"San Diego",2018,1506.9213499,16
"Placer",2018,1947.25836,8
"San Francisco",2018,0,0
"Marin",2018,1.35455,1
"Mariposa",2018,101953.1606,6
"Lassen",2018,20315.74189,13
"Napa",2018,92581.12391,8
"Shasta",2018,343557.12971,15
"Monterey",2018,3859.8578,8
"Trinity",2018,295282.943,5
"Mendocino",2018,460061.684,3
"Inyo",2018,6271.97,3
"Mono",2018,7729.0035,4
"Tuolumne",2018,134146.52434,10
"Solano",2018,2158.43,1
"San Bernardino",2018,1760.6184,8
"Contra Costa",2018,247.05,1
"Alpine",2018,36672.84321,5
"El Dorado",2018,594.4578,5
"Yolo",2018,90665.4152,3
"Yuba",2018,69.7054,3
"San Benito",2018,2715.2127,9
"Humboldt",2018,4038.07724,6
"Riverside",2018,38612.5125,10
"Kern",2018,4867.580055,23
"Colusa",2018,425398.9,2
"Del Norte",2018,38122.73789,2
"Modoc",2018,42158.8583,9
"Fresno",2018,2258.12242,16
"Madera",2018,14299.7961,4
"Santa Clara",2018,441.748,2
"Tehama",2018,11618.5579,11
"San Joaquin",2018,11823.2354,2
"Alameda",2018,702.3484,2
"Nevada",2018,8.58183,1
"Butte",2018,155142.3198,6
"Merced",2018,6305.05504,3
"Tulare",2018,8439.74506,10
"Stanislaus",2018,11905.5611,4
"Orange",2018,23369.99872273,21
"Imperial",2018,0,0
"Sutter",2018,1355.5859,3
"Amador",2018,824.978,1
